Tipo_joyeria,Precio,Estilo,Material,Popularidad,Promociones,Opiniones_clientes
Collares,Bajo,Moderno,Plata,Baja,No,Positivas
Anillos,Medio,Clasico,Oro,Media,Si,Positivas
Pulseras,Alto,Moderno,Platino,Alta,No,Positivas
Pendientes,Alto,Clasico,Oro,Alta,Si,Positivas
Collares,Medio,Vintage,Plata,Media,No,Positivas
Anillos,Bajo,Moderno,Oro,Baja,Si,Negativas
Pulseras,Alto,Clasico,Plata,Alta,No,Positivas
Pendientes,Medio,Moderno,Oro,Media,Si,Positivas
Collares,Bajo,Vintage,Platino,Baja,No,Negativas
Anillos,Alto,Moderno,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Plata,Media,No,Positivas
Pendientes,Alto,Vintage,Oro,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,Si,Positivas
Anillos,Bajo,Clasico,Platino,Baja,No,Positivas
Pulseras,Alto,Vintage,Oro,Alta,Si,Positivas
Pendientes,Medio,Moderno,Plata,Media,No,Negativas
Collares,Bajo,Clasico,Oro,Baja,No,Positivas
Anillos,Alto,Vintage,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Platino,Media,No,Negativas
Pendientes,Alto,Moderno,Plata,Alta,Si,Positivas
Collares,Bajo,Vintage,Oro,Baja,No,Positivas
Anillos,Medio,Clasico,Plata,Media,Si,Positivas
Pulseras,Alto,Vintage,Oro,Alta,No,Positivas
Pendientes,Medio,Moderno,Platino,Media,Si,Positivas
Pulseras,Medio,Clasico,Plata,Alta,Si,Positivas
Pulseras,Medio,Moderno,Plata,Alta,Si,Negativas
Anillos,Bajo,Vintage,Platino,Baja,No,Positivas
Collares,Medio,Moderno,Oro,Media,Si,Positivas
Pendientes,Alto,Clasico,Plata,Alta,No,Negativas
Anillos,Bajo,Vintage,Oro,Baja,No,Positivas
Pulseras,Alto,Moderno,Plata,Media,No,Positivas
Collares,Medio,Clasico,Platino,Media,No,Negativas
Pendientes,Medio,Moderno,Plata,Alta,Si,Positivas
Anillos,Bajo,Vintage,Oro,Baja,Si,Positivas
Pulseras,Alto,Clasico,Platino,Alta,No,Negativas
Anillos,Medio,Vintage,Plata,Media,No,Positivas
Pendientes,Alto,Clasico,Oro,Alta,Si,Positivas
Collares,Bajo,Moderno,Oro,Baja,Si,Positivas
Pulseras,Medio,Vintage,Plata,Media,No,Positivas
Anillos,Alto,Moderno,Platino,Alta,Si,Positivas
Pendientes,Medio,Clasico,Oro,Media,Si,Positivas
Collares,Bajo,Vintage,Plata,Baja,No,Negativas
Pulseras,Alto,Moderno,Oro,Alta,No,Positivas
Anillos,Medio,Clasico,Plata,Media,Si,Positivas
Pendientes,Alto,Vintage,Oro,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,No,Positivas
Pulseras,Bajo,Clasico,Platino,Baja,Si,Negativas
Anillos,Alto,Vintage,Plata,Alta,No,Positivas
Pendientes,Medio,Clasico,Oro,Media,Si,Positivas
Anillos,Bajo,Vintage,Oro,Baja,Si,Positivas
Collares,Medio,Moderno,Platino,Media,No,Negativas
Pendientes,Alto,Moderno,Plata,Alta,No,Positivas
Anillos,Bajo,Clasico,Oro,Baja,No,Positivas
Pulseras,Alto,Vintage,Plata,Alta,Si,Negativas
Collares,Medio,Moderno,Oro,Media,Si,Positivas
Pendientes,Alto,Vintage,Plata,Alta,Si,Positivas
Anillos,Medio,Moderno,Oro,Media,No,Negativas
Pulseras,Bajo,Clasico,Platino,Baja,Si,Positivas
Anillos,Alto,Vintage,Oro,Alta,No,Positivas
Pendientes,Medio,Clasico,Plata,Media,Si,Positivas
Pulseras,Alto,Clasico,Platino,Alta,No,Positivas
Anillos,Medio,Vintage,Oro,Media,Si,Negativas
Pendientes,Bajo,Moderno,Plata,Baja,No,Positivas
Collares,Medio,Clasico,Oro,Media,Si,Positivas
Pulseras,Alto,Moderno,Plata,Alta,No,Positivas
Anillos,Bajo,Vintage,Platino,Baja,Si,Positivas
Pendientes,Medio,Clasico,Plata,Media,No,Positivas
Collares,Alto,Moderno,Oro,Alta,Si,Positivas
Pulseras,Medio,Vintage,Plata,Media,No,Negativas
Anillos,Alto,Clasico,Oro,Alta,No,Positivas
Pendientes,Medio,Moderno,Platino,Media,Si,Positivas
Collares,Bajo,Vintage,Oro,Baja,No,Positivas
Pulseras,Alto,Clasico,Plata,Alta,Si,Positivas
Anillos,Medio,Moderno,Oro,Media,No,Positivas
Pendientes,Alto,Clasico,Plata,Alta,No,Negativas
Collares,Medio,Vintage,Plata,Media,Si,Positivas
Pulseras,Bajo,Moderno,Oro,Baja,No,Negativas
Anillos,Alto,Vintage,Platino,Alta,Si,Positivas
Pendientes,Medio,Clasico,Plata,Media,No,Positivas
Anillos,Alto,Vintage,Platino,Baja,No,Negativas
Pendientes,Medio,Vintage,Plata,Media,Si,Positivas
Collares,Bajo,Moderno,Oro,Baja,No,Negativas
Pulseras,Alto,Vintage,Plata,Alta,Si,Positivas
Anillos,Medio,Clasico,Platino,Media,No,Positivas
Pendientes,Alto,Moderno,Oro,Alta,Si,Positivas
Collares,Medio,Vintage,Plata,Media,Si,Positivas
Collares,Bajo,Moderno,Oro,Baja,No,Positivas
Pulseras,Alto,Moderno,Plata,Alta,Si,Negativas
Anillos,Medio,Clasico,Oro,Media,No,Positivas
Pendientes,Alto,Vintage,Platino,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,No,Positivas
Pulseras,Bajo,Clasico,Oro,Baja,Si,Negativas
Anillos,Alto,Vintage,Plata,Alta,No,Positivas
Pendientes,Medio,Moderno,Oro,Media,Si,Positivas
Collares,Bajo,Clasico,Platino,Baja,No,Negativas
Pulseras,Alto,Vintage,Plata,Alta,Si,Positivas
Anillos,Medio,Moderno,Oro,Media,No,Positivas
Pendientes,Alto,Clasico,Plata,Alta,No,Negativas
Aretes,Alto,Vintage,Oro,Alta,Si,Positivas
Collares,Alto,Vintage,Plata,Media,Si,Positivas
